,0
Chile,200.01
Thailand,189.64
Hong Kong (SAR),181.70
Denmark,166.11
China,162.74
Macau (SAR),158.48
United States,151.21
Liechtenstein,144.63
Romania,132.33
Spain,129.61
Switzerland,124.74
United Arab Emirates,124.70
Japan,123.98
New Zealand,121.93
Monaco,120.32
Kuwait,110.81
France,110.42
Portugal,108.39
Canada,106.82
Taiwan,106.19
Netherlands,105.45
South Korea,105.38
Norway,103.54
Sweden,102.24
Hungary,98.37
Andorra,96.96
Panama,94.76
Moldova,94.72
Qatar,94.25
Uruguay,93.63
Israel,93.01
Luxembourg,92.96
Finland,92.73
Brazil,91.82
Poland,90.42
Malta,89.61
Saudi Arabia,86.64
Lithuania,85.85
Malaysia,84.78
Belgium,81.30
Slovenia,79.34
Trinidad and Tobago,76.66
Germany,74.16
Colombia,73.04
Vietnam,71.86
Saint Lucia,69.87
Jordan,69.47
Barbados,69.43
San Marino,69.35
Russia,69.23
Ireland,69.21
Latvia,67.85
United Kingdom,62.86
Grenada,61.62
Austria,60.00
Bulgaria,58.35
Paraguay,56.22
Philippines,55.21
Saint Vincent and the Grenadines,53.51
Italy,53.46
Slovakia,52.78
Montenegro,52.22
Mongolia,52.12
Costa Rica,51.92
Estonia,51.47
Australia,51.34
Dominica,50.97
Serbia,50.67
Peru,50.53
Ukraine,49.82
Kosovo,49.10
Czechia,48.37
Bahrain,48.22
Oman,48.16
India,48.09
Belarus,47.81
Kyrgyzstan,47.19
Mexico,43.05
Argentina,43.04
Nepal,42.08
Croatia,41.35
Ecuador,40.12
Uzbekistan,39.76
Egypt,39.75
Belize,38.88
Albania,38.17
The Bahamas,37.81
Jamaica,37.34
Armenia,36.44
Greece,36.30
Kazakhstan,34.30
Nicaragua,32.34
Côte d'Ivoire,32.04
Bangladesh,31.65
Brunei,31.62
Guyana,30.70
South Africa,30.64
Cyprus,30.16
Palestine,29.66
Turkey,29.09
North Macedonia,28.01
Saint Kitts and Nevis,27.84
Laos,27.81
Bosnia and Herzegovina,26.84
Honduras,26.26
Guatemala,24.88
Bolivia,24.68
Madagascar,24.37
El Salvador,23.37
Ghana,22.79
Mali,22.75
Burkina Faso,21.85
Indonesia,21.43
Tajikistan,20.74
Senegal,20.70
Mauritius,20.30
Azerbaijan,20.28
Iraq,20.13
Georgia,19.80
Sri Lanka,19.29
Cambodia,19.25
Antigua and Barbuda,18.98
Republic of the Union of Myanmar,17.26
Dominican Republic,16.14
Togo,16.07
Cape Verde,15.77
Morocco,13.88
Fiji,13.77
Seychelles,13.67
Lesotho,13.66
Haiti,13.66
Gabon,13.09
Benin,12.75
Congo,12.45
Angola,11.92
Western Sahara,11.26
Maldives,10.70
Suriname,10.60
Tanzania,10.56
Papua New Guinea,10.55
Sierra Leone,10.53
Bhutan,10.30
Iran,10.23
Algeria,10.05
Marshall Islands,10.05
Libya,10.05
Nigeria,9.77
Uganda,9.54
Namibia,9.53
Rwanda,9.45
Pakistan,9.41
Venezuela,9.28
Liberia,9.02
DR Congo,8.73
Kenya,8.54
Somalia,8.52
Tunisia,8.00
Lebanon,7.91
Malawi,7.27
Cameroon,6.91
Mauritania,6.44
The Gambia,6.44
Guinea,6.26
Zambia,6.22
Botswana,6.21
Mozambique,5.90
Burundi,5.74
Djibouti,5.70
Swaziland,5.55
Zimbabwe,5.41
Equatorial Guinea,5.28
Sudan,4.44
Ethiopia,4.38
East Timor,4.34
Niger,4.27
Syria,2.89
Yemen,2.23
Turkmenistan,2.11
Cuba,1.88
Afghanistan,1.81
