,0
Singapore,280.67
Hong Kong (SAR),271.31
Chile,260.92
Monaco,259.11
Switzerland,255.41
Romania,245.52
Liechtenstein,244.45
Denmark,243.01
France,242.44
South Korea,242.13
Thailand,240.63
China,237.96
Hungary,223.04
United States,222.64
Japan,217.85
Spain,213.30
Macau (SAR),212.75
New Zealand,212.17
United Arab Emirates,208.84
Taiwan,203.24
Canada,202.95
Andorra,194.30
Israel,189.58
Sweden,188.09
Portugal,187.60
Luxembourg,185.55
Netherlands,184.88
Norway,176.98
Qatar,175.18
Kuwait,172.96
Uruguay,172.59
Poland,171.21
Malta,171.07
Moldova,169.48
Lithuania,161.72
Finland,161.12
Latvia,157.66
Slovenia,149.33
Panama,147.46
Germany,146.78
Slovakia,143.90
Brazil,141.49
Belgium,135.63
Ireland,135.20
San Marino,133.26
Italy,124.97
Malaysia,122.74
United Kingdom,122.19
Saint Lucia,115.14
Barbados,111.44
Austria,108.29
Saudi Arabia,106.16
Jordan,105.41
Russia,104.23
Czechia,103.19
Colombia,101.46
Bulgaria,100.33
Saint Vincent and the Grenadines,99.96
Estonia,94.46
Vietnam,94.45
Croatia,93.92
Serbia,93.11
Grenada,92.34
Trinidad and Tobago,91.00
Philippines,87.01
Bahrain,86.11
Montenegro,81.79
Paraguay,80.20
Australia,79.47
Oman,78.78
Belarus,76.98
Dominica,75.88
Ukraine,73.92
Palestine,72.59
Kosovo,71.69
Peru,71.08
India,70.86
Costa Rica,70.33
Argentina,69.85
Cyprus,66.99
The Bahamas,66.62
Mexico,66.17
Guyana,66.10
Armenia,65.02
Bosnia and Herzegovina,63.47
Kazakhstan,62.96
Nepal,61.80
Mongolia,61.60
South Africa,58.29
Albania,56.68
Uzbekistan,55.92
Ecuador,54.46
Ghana,53.61
Kyrgyzstan,52.85
Turkey,52.79
Belize,50.45
Bangladesh,48.79
North Macedonia,46.84
Côte d'Ivoire,46.48
Jamaica,45.98
Mauritius,45.85
Greece,45.14
Nicaragua,43.10
Egypt,41.83
Brunei,39.56
Madagascar,38.55
Saint Kitts and Nevis,38.20
Laos,37.56
Tajikistan,37.40
Senegal,36.47
Dominican Republic,34.58
Burkina Faso,33.01
Seychelles,32.72
El Salvador,32.28
Honduras,32.28
Guatemala,32.22
Bolivia,31.97
Indonesia,31.96
Bhutan,31.83
Lesotho,31.70
Iraq,31.61
Cambodia,31.23
Venezuela,31.19
Sri Lanka,31.02
Antigua and Barbuda,30.79
Azerbaijan,30.37
Morocco,30.32
DR Congo,30.01
Georgia,28.09
Mali,27.84
Maldives,26.88
Cape Verde,26.19
Congo,26.11
Western Sahara,24.86
Fiji,24.72
Somalia,23.89
Liberia,23.89
Republic of the Union of Myanmar,23.35
Marshall Islands,23.23
Gabon,22.73
Iran,22.67
Togo,22.57
Haiti,22.30
Benin,22.20
Ethiopia,22.13
Lebanon,21.45
Tanzania,21.31
Sierra Leone,21.04
Cameroon,20.85
Angola,20.26
Namibia,19.70
Nigeria,19.45
Niger,19.25
Kenya,19.03
Rwanda,18.97
Papua New Guinea,18.90
Malawi,18.55
Uganda,18.47
Libya,18.24
Swaziland,17.84
Mauritania,17.03
Zimbabwe,16.97
Djibouti,16.57
Suriname,15.93
Pakistan,15.05
Zambia,14.93
Botswana,13.92
Equatorial Guinea,12.71
Guinea,11.63
The Gambia,11.60
Burundi,11.56
Tunisia,11.54
Algeria,11.04
Syria,10.59
Afghanistan,10.59
Mozambique,9.39
Sudan,9.19
East Timor,9.00
Yemen,8.47
Cuba,6.51
Turkmenistan,5.78
