,0
Qatar,129.36
Norway,116.17
South Korea,111.94
Saudi Arabia,105.42
Kuwait,105.14
Netherlands,104.46
Denmark,102.90
Bulgaria,88.47
Croatia,81.62
Switzerland,81.59
Cyprus,81.06
China,80.53
Luxembourg,76.78
Finland,72.11
Sweden,72.07
Canada,71.46
Australia,71.04
Portugal,69.21
Brunei,66.03
Belgium,65.34
Singapore,64.05
North Macedonia,63.19
Bahrain,62.19
France,61.12
United States,61.06
Greece,58.63
Austria,58.08
Oman,56.99
Estonia,55.75
Maldives,54.37
Germany,54.30
Taiwan,53.47
Slovenia,51.51
Lithuania,50.85
Malta,50.64
New Zealand,49.87
Hong Kong (SAR),48.82
Macau (SAR),48.15
Czechia,47.30
Latvia,46.88
United Kingdom,46.88
Iraq,43.61
Serbia,43.05
Japan,42.79
Albania,41.94
Suriname,40.74
Hungary,40.56
Montenegro,40.55
Romania,40.36
Poland,38.76
Italy,36.42
Vietnam,33.86
Thailand,33.77
Spain,33.07
South Africa,32.60
Azerbaijan,32.52
Turkey,32.17
Slovakia,32.05
Georgia,31.59
Uruguay,31.25
Togo,31.22
Jamaica,31.03
Morocco,30.38
Moldova,29.44
Israel,29.29
Ireland,29.09
Malaysia,28.71
Kosovo,28.46
Bosnia and Herzegovina,27.26
Trinidad and Tobago,27.09
Mexico,26.30
Iran,24.95
Armenia,24.79
Laos,24.42
Tunisia,23.36
Republic of the Union of Myanmar,22.94
Papua New Guinea,22.78
Brazil,22.73
Chile,22.35
Fiji,22.21
Angola,21.93
Jordan,21.54
Russia,21.48
Egypt,21.48
Ukraine,21.25
El Salvador,21.23
Mauritius,20.96
Argentina,20.94
Honduras,20.92
Kazakhstan,20.70
Ethiopia,20.01
Dominican Republic,19.95
Botswana,19.93
Philippines,19.45
Kyrgyzstan,19.40
Senegal,18.89
Nigeria,18.50
Mozambique,18.28
Indonesia,17.96
Lebanon,17.68
Ecuador,17.68
Costa Rica,17.25
Pakistan,17.20
Nicaragua,17.15
Yemen,16.93
Kenya,16.79
Panama,16.65
Mongolia,16.53
Namibia,16.53
Cambodia,16.45
Guatemala,16.16
Uganda,16.15
Peru,15.79
Paraguay,15.64
Nepal,15.13
Malawi,14.65
India,14.19
Haiti,13.94
Uzbekistan,13.67
Algeria,13.62
Syria,13.33
Zimbabwe,13.02
Sri Lanka,12.78
Sudan,12.60
Bolivia,12.47
Colombia,11.55
DR Congo,11.43
Bangladesh,10.84
Zambia,10.48
Tanzania,10.20
Belarus,10.17
Côte d'Ivoire,9.92
Somalia,9.88
Cameroon,9.03
Libya,8.43
Tajikistan,7.84
Ghana,7.32
Cuba,6.43
Afghanistan,5.57
Venezuela,5.36
Turkmenistan,3.31
